userid,date.crea,score,n.matches,n.updates.photo,n.photos,last.connex,last.up.photo,last.pr.update,gender,sent.ana,length.prof,voyage,laugh,photo.elevator,photo.beach,Country
1,9/17/2011,1.495834114,11,5,6,10/7/2011,10/2/2011,NA,1,6.490445526,0,0,0,0,0,France
2,1/17/2017,8.946862644,56,2,6,1/31/2017,2/3/2017,NA,1,4.589125252,20.7228618,0,0,0,1,Germany
3,5/14/2019,2.496199436,13,3,4,6/17/2019,6/19/2019,NA,1,6.473182419,31.39927736,0,0,0,1,England
4,11/27/2015,2.823579192,32,5,2,1/15/2016,12/9/2015,NA,0,5.368982486,0,0,0,0,1,France
5,11/28/2014,2.117432577,21,1,4,1/15/2015,1/2/2015,NA,0,5.573948939,38.51022487,0,1,0,0,Germany
6,6/5/2017,1.700014386,14,2,6,7/3/2017,6/25/2017,NA,1,5.46466689,23.11220585,0,0,0,0,England
7,9/22/2010,0.950462876,10,1,4,11/22/2010,10/14/2010,NA,0,2.80030515,0,1,0,0,1,France
8,2/22/2018,1.165340544,9,1,3,4/1/2018,2/22/2018,NA,0,3.859891414,31.44130414,1,0,0,0,Germany
9,4/10/2018,0.908550083,6,-1,4,5/11/2018,4/28/2018,NA,1,3.547956101,22.41805114,0,0,0,0,England
10,4/23/2015,3.046645372,31,2,5,5/14/2015,5/7/2015,NA,1,8.392372912,0,1,0,0,0,France
11,6/23/2010,1.777849123,25,3,1,8/27/2010,7/11/2010,NA,0,6.485753196,35.93549318,1,0,1,0,Germany
12,6/29/2019,0.995940101,6,2,5,8/4/2019,7/22/2019,NA,1,4.493921509,39.00662921,0,0,0,0,England
13,11/3/2016,1.866785235,15,1,2,1/6/2017,12/2/2016,NA,0,4.883760155,0,0,0,0,0,France
14,10/8/2010,2.160101993,18,2,3,11/8/2010,10/31/2010,NA,1,5.993816607,0,0,0,0,0,Germany
15,2/21/2010,2.583521631,33,3,2,3/12/2010,2/21/2010,NA,0,7.113278279,0,0,0,1,0,England
16,11/27/2019,1.258396638,11,4,2,12/23/2019,12/17/2019,NA,1,6.582468257,23.02307791,0,1,0,0,France
17,3/7/2014,0.856392583,5,4,7,3/30/2014,3/28/2014,NA,1,2.951044909,25.87997117,0,0,0,0,Germany
18,6/16/2011,1.588137787,12,3,3,7/3/2011,6/27/2011,NA,1,3.833901527,15.4605915,0,0,0,0,England
19,9/13/2012,0.739152135,5,3,2,11/11/2012,10/12/2012,NA,0,-1.707677357,0,0,1,0,0,France
20,8/13/2012,2.555872705,22,0,4,9/1/2012,8/29/2012,NA,1,7.332350868,0,0,0,0,0,Germany
21,8/29/2010,2.289222924,19,0,5,9/21/2010,9/16/2010,NA,1,3.88799523,0,0,0,0,0,England
22,5/21/2013,0.730332306,5,0,1,6/30/2013,6/23/2013,NA,1,3.563598213,34.69395439,0,1,0,0,France
